"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,3373,361,3012,8861,3329,5532,462,134,300,28
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,10749,836,9913,30045,10755,19290,1145,256,709,180
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,7815,295,7520,23650,7751,15899,479,166,227,86
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,7245,725,6520,20506,7572,12934,851,376,394,81
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,4592,925,3667,19657,5387,14270,1000,272,556,172
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,5715,390,5325,15549,5938,9611,565,171,303,91
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,10418,788,9630,39433,11738,27695,899,198,539,162
