"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,2749,1345,1404,6862,2582,4280,593,310,269,14
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,9857,741,9116,25497,9307,16190,686,123,433,130
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,9077,296,8781,18037,8531,9506,343,100,191,52
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,6178,694,5484,16209,6910,9299,543,206,259,78
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,3202,900,2302,15178,3944,11234,584,182,322,80
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,7019,320,6699,15278,6601,8677,445,95,261,89
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,10991,711,10280,34243,10864,23379,638,113,451,74
