"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,3887,403,3484,10876,4094,6782,431,151,268,12
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,11633,873,10760,30538,10712,19826,963,288,493,182
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,9850,474,9376,27258,9229,18029,667,268,283,116
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,8144,1033,7111,22504,8750,13754,910,426,381,103
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,4352,877,3475,18952,4763,14189,839,263,464,112
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,7601,354,7247,17584,7186,10398,562,176,277,109
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,13710,738,12972,46468,13664,32804,973,232,626,115
