"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,3610,1178,2432,9193,3612,5581,542,253,269,20
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,10197,706,9491,28051,9757,18294,753,242,417,94
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,8799,318,8481,24784,8256,16528,477,180,231,66
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,6550,677,5873,18038,7172,10866,751,336,352,63
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,3122,633,2489,14763,3885,10878,579,187,307,85
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,7265,350,6915,16844,6770,10074,591,163,301,127
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,11743,618,11125,38563,11377,27186,805,227,469,109
