"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,2551,1093,1458,6216,2275,3941,517,277,204,36
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,9673,656,9017,21897,9432,12465,631,130,394,107
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,8211,217,7994,19320,7792,11528,307,75,183,49
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,6084,847,5237,14778,6643,8135,685,252,324,109
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,2568,612,1956,9340,3171,6169,481,162,242,77
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,6487,257,6230,13444,6194,7250,374,83,204,87
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,9959,503,9456,26831,9414,17417,560,115,382,63
