"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,3644,1169,2475,8592,3397,5195,562,283,263,16
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,10398,767,9631,26686,9577,17109,752,161,486,105
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,9163,325,8838,24665,8593,16072,499,145,270,84
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,7154,698,6456,19168,8011,11157,662,253,312,97
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,3509,819,2690,15259,4301,10958,635,218,317,100
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,7434,306,7128,16114,7085,9029,441,126,235,80
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,12263,731,11532,38092,11851,26241,872,175,591,106
