"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,3348,1098,2250,8007,3097,4910,476,240,225,11
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,9026,708,8318,25108,8615,16493,678,152,447,79
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,8429,327,8102,23097,7895,15202,434,91,265,78
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,6077,620,5457,16419,7030,9389,571,180,345,46
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,3211,720,2491,14955,4125,10830,534,181,297,56
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,6503,291,6212,14941,6100,8841,429,80,288,61
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,11075,614,10461,36003,10792,25211,676,141,475,60
