"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,2579,1176,1403,6314,2351,3963,533,250,273,10
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,10013,684,9329,25060,9502,15558,640,109,460,71
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,9060,288,8772,17901,8308,9593,357,71,229,57
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,6284,694,5590,16731,6661,10070,643,188,377,78
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,3627,875,2752,15901,4501,11400,650,181,359,110
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,6859,300,6559,15411,6424,8987,386,82,245,59
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,10889,735,10154,34955,10827,24128,722,114,529,79
