"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,3285,705,2580,8645,3486,5159,422,174,234,14
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,8988,665,8323,26141,8881,17260,687,154,451,82
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,7848,278,7570,22904,7632,15272,347,91,214,42
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,5903,626,5277,13765,6818,6947,552,185,318,49
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,3065,706,2359,14366,3727,10639,585,181,306,98
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,6423,268,6155,15572,6219,9353,388,100,231,57
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,10510,623,9887,36558,10641,25917,667,146,455,66
