"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,2535,1168,1367,6827,2627,4200,541,292,233,16
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,9443,701,8742,24705,9329,15376,608,135,361,112
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,9464,314,9150,19060,8891,10169,374,92,219,63
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,5947,639,5308,15983,6637,9346,562,194,304,64
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,3148,851,2297,14941,4163,10778,578,184,327,67
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,6974,297,6677,15608,6459,9149,371,98,200,73
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,10869,802,10067,34253,10366,23887,723,134,528,61
