"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,2802,1188,1614,8182,2973,5209,525,259,251,15
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,9333,704,8629,25601,8763,16838,688,158,418,112
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,7435,245,7190,23365,7938,15427,402,93,243,66
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,5022,488,4534,15619,6303,9316,497,183,256,58
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,2978,700,2278,12187,3755,8432,540,155,321,64
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,5777,252,5525,14811,5853,8958,355,89,195,71
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,10301,578,9723,37517,11296,26221,691,127,475,89
