"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,2046,1279,767,5412,2336,3076,478,292,164,22
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,8293,602,7691,19315,7838,11477,529,113,325,91
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,7050,227,6823,11617,5357,6260,277,62,163,52
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,5268,512,4756,12406,5633,6773,462,147,230,85
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,2653,749,1904,10073,3075,6998,544,185,230,129
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,6206,231,5975,12456,5746,6710,334,77,184,73
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,8716,518,8198,23413,8003,15410,529,113,330,86
