"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,4383,1251,3132,9970,4229,5741,604,277,309,18
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,12441,911,11530,31142,11273,19869,1028,269,620,139
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,10375,353,10022,27656,9375,18281,658,225,358,75
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,7745,762,6983,20302,8481,11821,963,376,475,112
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,4085,876,3209,16166,4791,11375,825,282,439,104
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,8634,404,8230,18646,8054,10592,674,216,362,96
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,14053,772,13281,43819,12830,30989,1031,255,659,117
