"Store code","Business name","Address","Labels","Total searches","Direct searches","Discovery searches","Total views","Search views","Maps views","Total actions","Website actions","Directions actions","Phone call actions"
,,,,"Number of times customers found this listing by searching on Google Search or Maps","Number of times customers found this listing by searching for the business name or address on Google Search or Maps","Number of times customers found this listing by searching for the category, product or service on Google Search or Maps","Number of times this listing has been viewed on Google Search or Maps","Number of times this listing has been viewed on Google Search","Number of times this listing has been viewed on Google Maps","Number of times customers have taken action on this listing on Google Search or Maps","Number of times customers have visited the website from this listing","Number of times customers have requested directions from this listing","Number of times customers have called the business from this listing"
,"Birdcall","800 East 26th Avenue, Denver, CO, US",,3588,368,3220,9662,3644,6018,391,125,251,15
,"Park Burger Pearl","1890 South Pearl Street, Denver, CO, US",,10692,900,9792,28734,9629,19105,952,236,517,199
,"Park Burger Highlands","2643 West 32nd Avenue, Denver, Colorado, US",,7821,287,7534,22763,7062,15701,488,130,272,86
,"Homegrown Tap & Dough","5601 Olde Wadsworth Blvd., Arvada, CO, US",,7421,742,6679,21037,7712,13325,806,341,381,84
,"Homegrown Tap & Dough - Wash Park","1001 S Gaylord St, Denver, Colorado, US",,4511,939,3572,19010,4912,14098,911,298,494,119
,"Park Burger Hilltop","211 S Holly St, Denver, CO, US",,6423,337,6086,15549,5725,9824,641,173,305,163
,"Park Burger RiNo","2615 Walnut St, Denver, CO, US",,10825,624,10201,38581,10792,27789,676,161,445,70
